dst_path,image_path,design_name,file_name,designer
C:\Users\Asus\all pendrive design\dual hybrid\Krishna offer design\2383\SLEEVE BUTTA.DST,C:\Users\Asus\embroidery-finder\dst_images\2383_SLEEVE BUTTA.png,2383,SLEEVE BUTTA.DST,Krishna
C:\Users\Asus\all pendrive design\dual hybrid\Krishna offer design\2383\SLEEVE LINE.DST,C:\Users\Asus\embroidery-finder\dst_images\2383_SLEEVE LINE.png,2383,SLEEVE LINE.DST,Krishna
C:\Users\Asus\all pendrive design\dual hybrid\Krishna offer design\2385\EDIT BUTTA.DST,C:\Users\Asus\embroidery-finder\dst_images\2385_EDIT BUTTA.png,2385,EDIT BUTTA.DST,Krishna
C:\Users\Asus\all pendrive design\dual hybrid\Krishna offer design\2385\FROUNT.DST,C:\Users\Asus\embroidery-finder\dst_images\2385_FROUNT.png,2385,FROUNT.DST,Krishna
C:\Users\Asus\all pendrive design\dual hybrid\Krishna offer design\2385\FULL SLEEVE.DST,C:\Users\Asus\embroidery-finder\dst_images\2385_FULL SLEEVE.png,2385,FULL SLEEVE.DST,Krishna
C:\Users\Asus\all pendrive design\dual hybrid\Krishna offer design\2385\FULL.DST,C:\Users\Asus\embroidery-finder\dst_images\2385_FULL.png,2385,FULL.DST,Krishna
C:\Users\Asus\all pendrive design\dual hybrid\Krishna offer design\2385\SLEEVE BUTTA.DST,C:\Users\Asus\embroidery-finder\dst_images\2385_SLEEVE BUTTA.png,2385,SLEEVE BUTTA.DST,Krishna
C:\Users\Asus\all pendrive design\dual hybrid\Krishna offer design\2385\SLEEVE LINE.DST,C:\Users\Asus\embroidery-finder\dst_images\2385_SLEEVE LINE.png,2385,SLEEVE LINE.DST,Krishna
C:\Users\Asus\all pendrive design\dual hybrid\Krishna offer design\2394\front.DST,C:\Users\Asus\embroidery-finder\dst_images\2394_front.png,2394,front.DST,Krishna
C:\Users\Asus\all pendrive design\dual hybrid\Krishna offer design\2394\FULL SLEEVE.DST,C:\Users\Asus\embroidery-finder\dst_images\2394_FULL SLEEVE.png,2394,FULL SLEEVE.DST,Krishna
